inner_outer,hhcomp_common,eth_common,value_21,value_11,value_01
Inner,Couple/lone parent with no dependent children,Asian: Bangladeshi,8224,4648,2445
Inner,Couple/lone parent with no dependent children,Asian: Chinese,7966,5900,2994
Inner,Couple/lone parent with no dependent children,Asian: Indian,12021,9463,5868
Inner,Couple/lone parent with no dependent children,Asian: Other,10060,8877,2239
Inner,Couple/lone parent with no dependent children,Asian: Pakistani,4149,2861,1848
Inner,Couple/lone parent with no dependent children,Black: African,22242,12938,8563
Inner,Couple/lone parent with no dependent children,Black: Caribbean,19763,15257,14688
Inner,Couple/lone parent with no dependent children,Black: Other,3847,3392,1105
Inner,Couple/lone parent with no dependent children,Mixed: Other,5754,3329,1545
Inner,Couple/lone parent with no dependent children,Mixed: White and Asian,3767,2340,1483
Inner,Couple/lone parent with no dependent children,Mixed: White and Black African,2023,1290,746
Inner,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,3084,1952,1017
Inner,Couple/lone parent with no dependent children,Other,19860,8749,4018
Inner,Couple/lone parent with no dependent children,White: British,146239,144733,142192
Inner,Couple/lone parent with no dependent children,White: Irish,10725,10382,12210
Inner,Couple/lone parent with no dependent children,White: Other,72858,53622,34090
Outer,Couple/lone parent with no dependent children,Asian: Bangladeshi,4336,2167,1107
Outer,Couple/lone parent with no dependent children,Asian: Chinese,8016,6133,3601
Outer,Couple/lone parent with no dependent children,Asian: Indian,49205,39630,25758
Outer,Couple/lone parent with no dependent children,Asian: Other,21586,16552,6222
Outer,Couple/lone parent with no dependent children,Asian: Pakistani,12031,7670,4781
Outer,Couple/lone parent with no dependent children,Black: African,23982,12268,6116
Outer,Couple/lone parent with no dependent children,Black: Caribbean,21764,15406,13149
Outer,Couple/lone parent with no dependent children,Black: Other,3925,2962,913
Outer,Couple/lone parent with no dependent children,Mixed: Other,4985,2828,1575
Outer,Couple/lone parent with no dependent children,Mixed: White and Asian,3336,2528,1869
Outer,Couple/lone parent with no dependent children,Mixed: White and Black African,1921,1174,581
Outer,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,2975,2129,1066
Outer,Couple/lone parent with no dependent children,Other,25860,9405,4089
Outer,Couple/lone parent with no dependent children,White: British,255806,284870,321536
Outer,Couple/lone parent with no dependent children,White: Irish,14125,14652,18998
Outer,Couple/lone parent with no dependent children,White: Other,63601,41871,28883
