"","eth_broad","inner_outer","value_agg_21","value_agg_11","change","perc_change"
"1","Asian","Inner",74468,63211,11257,17.8
"2","Black","Inner",78046,90788,-12742,-14
"3","Mixed","Inner",17802,16534,1268,7.7
"4","Other","Inner",30680,18561,12119,65.3
"5","White","Inner",165493,172933,-7440,-4.3
"6","Asian","Outer",178706,140291,38415,27.4
"7","Black","Outer",101572,99159,2413,2.4
"8","Mixed","Outer",24769,20020,4749,23.7
"9","Other","Outer",50899,22834,28065,122.9
"10","White","Outer",348679,365512,-16833,-4.6
