"","Year","EandW_TFR"
"1","1993",1.78592678478906
"2","1994",1.76132626536905
"3","1995",1.72251747678278
"4","1996",1.74053214181813
"5","1997",1.73625756893386
"6","1998",1.73334109719674
"7","1999",1.7082551044773
"8","2000",1.66288219570385
"9","2001",1.64614604138537
"10","2002",1.65478473045827
"11","2003",1.72798235650846
"12","2004",1.78205841811588
"13","2005",1.7855335060117
"14","2006",1.84289030144092
"15","2007",1.89119441280413
"16","2008",1.94198480540462
"17","2009",1.92801184569261
"18","2010",1.96367892696526
"19","2011",1.95803659734343
"20","2012",1.95651135693646
"21","2013",1.86032296711905
"22","2014",1.82988779527314
"23","2015",1.80941600259605
"24","2016",1.7865187964393
"25","2017",1.72641635537403
"26","2018",1.66456135959422
"27","2019",1.61726997619094
"28","2020",1.55138463305581
"29","2021",1.57923893875081
