lad22cd,lad22nm,cat_common,value_21,value_11,value_01
E09000001,City of London,One dependent child,257,268,276
E09000001,City of London,Two or more dependent children,174,163,174
E09000002,Barking and Dagenham,One dependent child,13363,13223,9852
E09000002,Barking and Dagenham,Two or more dependent children,20213,15799,12868
E09000003,Barnet,One dependent child,21510,19953,16559
E09000003,Barnet,Two or more dependent children,28034,25453,22492
E09000004,Bexley,One dependent child,13921,13615,11277
E09000004,Bexley,Two or more dependent children,18602,17044,16607
E09000005,Brent,One dependent child,17729,17846,15229
E09000005,Brent,Two or more dependent children,22384,20253,17601
E09000006,Bromley,One dependent child,19132,17821,15219
E09000006,Bromley,Two or more dependent children,24141,21848,21390
E09000007,Camden,One dependent child,9642,9877,9267
E09000007,Camden,Two or more dependent children,11425,11647,10282
E09000008,Croydon,One dependent child,23709,24854,20114
E09000008,Croydon,Two or more dependent children,27998,26104,24570
E09000009,Ealing,One dependent child,19863,19204,15744
E09000009,Ealing,Two or more dependent children,25804,23022,20779
E09000010,Enfield,One dependent child,19212,20214,15320
E09000010,Enfield,Two or more dependent children,26190,23810,20550
E09000011,Greenwich,One dependent child,16413,16020,12381
E09000011,Greenwich,Two or more dependent children,20428,17903,15327
E09000012,Hackney,One dependent child,12699,13671,11163
E09000012,Hackney,Two or more dependent children,16098,15404,14419
E09000013,Hammersmith and Fulham,One dependent child,8665,8870,7508
E09000013,Hammersmith and Fulham,Two or more dependent children,9867,9550,8627
E09000014,Haringey,One dependent child,14849,15742,12234
E09000014,Haringey,Two or more dependent children,16433,16192,14392
E09000015,Harrow,One dependent child,13941,13961,10879
E09000015,Harrow,Two or more dependent children,18385,16819,15221
E09000016,Havering,One dependent child,14665,13191,10937
E09000016,Havering,Two or more dependent children,19052,16036,16200
E09000017,Hillingdon,One dependent child,17307,16214,12675
E09000017,Hillingdon,Two or more dependent children,22859,19684,18095
E09000018,Hounslow,One dependent child,16736,15971,11490
E09000018,Hounslow,Two or more dependent children,21002,16909,15218
E09000019,Islington,One dependent child,10103,10682,9116
E09000019,Islington,Two or more dependent children,11113,10166,10219
E09000020,Kensington and Chelsea,One dependent child,6477,7126,7379
E09000020,Kensington and Chelsea,Two or more dependent children,7147,8110,7651
E09000021,Kingston upon Thames,One dependent child,9368,8849,7322
E09000021,Kingston upon Thames,Two or more dependent children,12260,10808,10048
E09000022,Lambeth,One dependent child,15242,17795,15067
E09000022,Lambeth,Two or more dependent children,16597,16925,15771
E09000023,Lewisham,One dependent child,17463,18571,15388
E09000023,Lewisham,Two or more dependent children,19915,18169,17077
E09000024,Merton,One dependent child,12100,11454,9819
E09000024,Merton,Two or more dependent children,15327,13472,12658
E09000025,Newham,One dependent child,18489,18085,13672
E09000025,Newham,Two or more dependent children,25872,22036,20598
E09000026,Redbridge,One dependent child,17128,16603,12425
E09000026,Redbridge,Two or more dependent children,24948,21751,18242
E09000027,Richmond upon Thames,One dependent child,11124,10315,8591
E09000027,Richmond upon Thames,Two or more dependent children,15088,13251,11517
E09000028,Southwark,One dependent child,15323,17439,14142
E09000028,Southwark,Two or more dependent children,17612,16536,15452
E09000029,Sutton,One dependent child,12639,11669,9458
E09000029,Sutton,Two or more dependent children,16386,13656,13395
E09000030,Tower Hamlets,One dependent child,13154,11509,8142
E09000030,Tower Hamlets,Two or more dependent children,19513,15619,13935
E09000031,Waltham Forest,One dependent child,16303,15925,12482
E09000031,Waltham Forest,Two or more dependent children,19356,17872,15468
E09000032,Wandsworth,One dependent child,15363,15165,11762
E09000032,Wandsworth,Two or more dependent children,18898,16427,13874
E09000033,Westminster,One dependent child,8842,9601,7580
E09000033,Westminster,Two or more dependent children,9236,10418,7617
