"","year","Inner_factor","SUM_births"
"1","2012","Inner",53965
"2","2012","Outer",80072
"3","2013","Inner",52712
"4","2013","Outer",78299
"5","2014","Inner",50937
"6","2014","Outer",76870
"7","2015","Inner",50691
"8","2015","Outer",77829
"9","2016","Inner",50740
"10","2016","Outer",79107
"11","2017","Inner",49580
"12","2017","Outer",77779
"13","2018","Inner",48140
"14","2018","Outer",75454
"15","2019","Inner",46548
"16","2019","Outer",72538
"17","2020","Inner",44518
"18","2020","Outer",71407
"19","2021","Inner",42361
"20","2021","Outer",67352
"21","2022","Inner",42123
"22","2022","Outer",67365
