"","Year","Inner_factor","SUM_ASFR_new","SUM_AgeXASFR_new","TFR","SMA"
"1","1993","Inner",1.68800271324449,47.8767045845809,1.68800271324449,28.8629310598427
"2","1993","Outer",1.74237824835729,49.4601313767905,1.74237824835729,28.886563837916
"3","1994","Inner",1.68572758663634,48.3244637114012,1.68572758663634,29.1668285519529
"4","1994","Outer",1.73856973266707,49.7454682358673,1.73856973266707,29.1128691309693
"5","1995","Inner",1.68273269368661,48.34639377669,1.68273269368661,29.2308815940162
"6","1995","Outer",1.70850475461947,49.0959802847235,1.70850475461947,29.2362268978049
"7","1996","Inner",1.6956612183762,48.8411236304377,1.6956612183762,29.3035859410695
"8","1996","Outer",1.71941215537624,49.4785957190138,1.71941215537624,29.2764603526296
"9","1997","Inner",1.71067231107576,49.3225501141053,1.71067231107576,29.3322607402752
"10","1997","Outer",1.71936450648127,49.6235226175775,1.71936450648127,29.3615488051068
"11","1998","Inner",1.66932816118679,48.2340086361777,1.66932816118679,29.3942640264849
"12","1998","Outer",1.72750455337535,49.994517195252,1.72750455337535,29.4403099387312
"13","1999","Inner",1.67178619320796,48.5099359790459,1.67178619320796,29.5168301282361
"14","1999","Outer",1.69071780568335,48.930378033287,1.69071780568335,29.4405942664161
"15","2000","Inner",1.64462748270369,47.9086631806012,1.64462748270369,29.6304041094107
"16","2000","Outer",1.6599603687741,48.1756871621242,1.6599603687741,29.5221911729752
"17","2001","Inner",1.61586281151285,47.3178764259585,1.61586281151285,29.7833501017683
"18","2001","Outer",1.63669573694927,47.6150002782651,1.63669573694927,29.5921514630553
"19","2002","Inner",1.62545954931068,47.6656039377887,1.62545954931068,29.8243864222906
"20","2002","Outer",1.66689301840541,48.6003171219138,1.66689301840541,29.6562305350622
"21","2003","Inner",1.70129724321775,50.2232026869242,1.70129724321775,30.0205337498429
"22","2003","Outer",1.75683300830066,51.4429928606508,1.75683300830066,29.7816634350525
"23","2004","Inner",1.70912664517704,50.6535919513698,1.70912664517704,30.1371202767849
"24","2004","Outer",1.83000417180747,53.6217620938267,1.83000417180747,29.8014425430874
"25","2005","Inner",1.6967942402407,50.5606932070973,1.6967942402407,30.2977751267737
"26","2005","Outer",1.85063269536522,54.2827821360143,1.85063269536522,29.8320129229111
"27","2006","Inner",1.73229063498507,51.9717333808072,1.73229063498507,30.5017400840219
"28","2006","Outer",1.91446889847862,56.241114968936,1.91446889847862,29.8768757557928
"29","2007","Inner",1.73899312598659,52.6812789568609,1.73899312598659,30.7941271990209
"30","2007","Outer",1.9939169056183,58.8727498472263,1.9939169056183,30.0261801940389
"31","2008","Inner",1.72332001405931,52.4342342916126,1.72332001405931,30.9262898729429
"32","2008","Outer",2.00018361124133,59.2827436832416,2.00018361124133,30.1386508468842
"33","2009","Inner",1.70267524313105,52.1229881208068,1.70267524313105,31.1124073460761
"34","2009","Outer",2.00045530865443,59.4220205736821,2.00045530865443,30.2042479862503
"35","2010","Inner",1.71841496520248,52.878412225193,1.71841496520248,31.2716199497614
"36","2010","Outer",2.02779840605313,60.5946928469223,2.02779840605313,30.3820102955218
"37","2011","Inner",1.6611301638193,51.6814802484064,1.6611301638193,31.6122399520935
"38","2011","Outer",2.00205002419904,60.1051320746652,2.00205002419904,30.5217933359141
"39","2012","Inner",1.63090257003545,50.9588194643277,1.63090257003545,31.745777890472
"40","2012","Outer",1.99070881448765,60.1005409732813,1.99070881448765,30.6905233632822
"41","2013","Inner",1.52523220896742,48.1101450930606,1.52523220896742,32.0428331569466
"42","2013","Outer",1.86891011664461,56.8302053207758,1.86891011664461,30.9082068017306
"43","2014","Inner",1.47250232885757,46.7513208804922,1.47250232885757,32.2495734738593
"44","2014","Outer",1.82721197506971,55.8792064982089,1.82721197506971,31.0816770361725
"45","2015","Inner",1.46322080554481,46.6736340144959,1.46322080554481,32.3978747688853
"46","2015","Outer",1.83846522610914,56.4181025252814,1.83846522610914,31.1876092754186
"47","2016","Inner",1.42899271703808,45.8237114613113,1.42899271703808,32.5671413611482
"48","2016","Outer",1.82049003025996,56.0519604157705,1.82049003025996,31.2894904581084
"49","2017","Inner",1.39887789040629,45.040985337681,1.39887789040629,32.6979392530105
"50","2017","Outer",1.78775073972826,55.0291815337892,1.78775073972826,31.2812382962032
"51","2018","Inner",1.3411897302853,43.5001682243845,1.3411897302853,32.9340152941158
"52","2018","Outer",1.69844135232493,52.4158968248759,1.69844135232493,31.3611756026347
"53","2019","Inner",1.29682610009874,42.1888495491424,1.29682610009874,33.0323877626539
"54","2019","Outer",1.68137161219736,52.0270816121967,1.68137161219736,31.4432377915572
"55","2020","Inner",1.2235213575704,39.8786150855157,1.2235213575704,33.0933134217653
"56","2020","Outer",1.60816250337776,49.8643361234419,1.60816250337776,31.5070257319814
"57","2021","Inner",1.26221337248765,41.3819004361313,1.26221337248765,33.2851861960338
"58","2021","Outer",1.6223020470192,50.615081206152,1.6223020470192,31.6995422178944
