"","agegroups","Year","sum_value","label","highlight_flag"
"1","0-10",1991,973956,NA,TRUE
"2","0-10",1992,987361,NA,TRUE
"3","0-10",1993,999683,NA,TRUE
"4","0-10",1994,1014321,NA,TRUE
"5","0-10",1995,1026352,NA,TRUE
"6","0-10",1996,1037186,NA,TRUE
"7","0-10",1997,1045474,NA,TRUE
"8","0-10",1998,1050849,NA,TRUE
"9","0-10",1999,1043944,NA,TRUE
"10","0-10",2000,1034949,NA,TRUE
"11","0-10",2001,1020504,NA,TRUE
"12","0-10",2002,1022512,NA,TRUE
"13","0-10",2003,1026709,NA,TRUE
"14","0-10",2004,1033477,NA,TRUE
"15","0-10",2005,1046081,NA,TRUE
"16","0-10",2006,1059828,NA,TRUE
"17","0-10",2007,1079427,NA,TRUE
"18","0-10",2008,1100063,NA,TRUE
"19","0-10",2009,1125558,NA,TRUE
"20","0-10",2010,1150808,NA,TRUE
"21","0-10",2011,1171533,NA,TRUE
"22","0-10",2012,1208086,NA,TRUE
"23","0-10",2013,1238979,NA,TRUE
"24","0-10",2014,1257722,NA,TRUE
"25","0-10",2015,1270476,NA,TRUE
"26","0-10",2016,1276278,NA,TRUE
"27","0-10",2017,1269136,NA,TRUE
"28","0-10",2018,1255596,NA,TRUE
"29","0-10",2019,1234318,NA,TRUE
"30","0-10",2020,1208362,NA,TRUE
"31","0-10",2021,1163942,NA,TRUE
"32","0-10",2022,1157481,"0-10",TRUE
"33","11-17",1991,506658,NA,FALSE
"34","11-17",1992,512374,NA,FALSE
"35","11-17",1993,519535,NA,FALSE
"36","11-17",1994,529942,NA,FALSE
"37","11-17",1995,542056,NA,FALSE
"38","11-17",1996,558523,NA,FALSE
"39","11-17",1997,567667,NA,FALSE
"40","11-17",1998,575756,NA,FALSE
"41","11-17",1999,584102,NA,FALSE
"42","11-17",2000,590047,NA,FALSE
"43","11-17",2001,600978,NA,FALSE
"44","11-17",2002,608097,NA,FALSE
"45","11-17",2003,613812,NA,FALSE
"46","11-17",2004,616312,NA,FALSE
"47","11-17",2005,619379,NA,FALSE
"48","11-17",2006,620536,NA,FALSE
"49","11-17",2007,625188,NA,FALSE
"50","11-17",2008,630846,NA,FALSE
"51","11-17",2009,634610,NA,FALSE
"52","11-17",2010,639557,NA,FALSE
"53","11-17",2011,644641,NA,FALSE
"54","11-17",2012,639661,NA,FALSE
"55","11-17",2013,635386,NA,FALSE
"56","11-17",2014,636136,NA,FALSE
"57","11-17",2015,641299,NA,FALSE
"58","11-17",2016,651427,NA,FALSE
"59","11-17",2017,662502,NA,FALSE
"60","11-17",2018,680763,NA,FALSE
"61","11-17",2019,702957,NA,FALSE
"62","11-17",2020,718588,NA,FALSE
"63","11-17",2021,730157,NA,FALSE
"64","11-17",2022,739381,"11-17",FALSE
"65","18-24",1991,787227,NA,FALSE
"66","18-24",1992,745138,NA,FALSE
"67","18-24",1993,715030,NA,FALSE
"68","18-24",1994,702402,NA,FALSE
"69","18-24",1995,693477,NA,FALSE
"70","18-24",1996,689668,NA,FALSE
"71","18-24",1997,692937,NA,FALSE
"72","18-24",1998,700978,NA,FALSE
"73","18-24",1999,706904,NA,FALSE
"74","18-24",2000,702625,NA,FALSE
"75","18-24",2001,707381,NA,FALSE
"76","18-24",2002,716835,NA,FALSE
"77","18-24",2003,719121,NA,FALSE
"78","18-24",2004,732875,NA,FALSE
"79","18-24",2005,744795,NA,FALSE
"80","18-24",2006,759046,NA,FALSE
"81","18-24",2007,778593,NA,FALSE
"82","18-24",2008,790280,NA,FALSE
"83","18-24",2009,794379,NA,FALSE
"84","18-24",2010,801372,NA,FALSE
"85","18-24",2011,815915,NA,FALSE
"86","18-24",2012,816583,NA,FALSE
"87","18-24",2013,822781,NA,FALSE
"88","18-24",2014,824812,NA,FALSE
"89","18-24",2015,836842,NA,FALSE
"90","18-24",2016,835601,NA,FALSE
"91","18-24",2017,821711,NA,FALSE
"92","18-24",2018,816377,NA,FALSE
"93","18-24",2019,812995,NA,FALSE
"94","18-24",2020,780824,NA,FALSE
"95","18-24",2021,778611,NA,FALSE
"96","18-24",2022,804899,"18-24",FALSE
"97","25-39",1991,1795998,NA,TRUE
"98","25-39",1992,1824614,NA,TRUE
"99","25-39",1993,1851372,NA,TRUE
"100","25-39",1994,1868090,NA,TRUE
"101","25-39",1995,1891256,NA,TRUE
"102","25-39",1996,1918885,NA,TRUE
"103","25-39",1997,1927703,NA,TRUE
"104","25-39",1998,1939329,NA,TRUE
"105","25-39",1999,2004998,NA,TRUE
"106","25-39",2000,2069770,NA,TRUE
"107","25-39",2001,2129811,NA,TRUE
"108","25-39",2002,2138413,NA,TRUE
"109","25-39",2003,2119512,NA,TRUE
"110","25-39",2004,2110244,NA,TRUE
"111","25-39",2005,2128535,NA,TRUE
"112","25-39",2006,2141448,NA,TRUE
"113","25-39",2007,2155164,NA,TRUE
"114","25-39",2008,2192296,NA,TRUE
"115","25-39",2009,2228530,NA,TRUE
"116","25-39",2010,2260126,NA,TRUE
"117","25-39",2011,2308767,NA,TRUE
"118","25-39",2012,2330807,NA,TRUE
"119","25-39",2013,2353716,NA,TRUE
"120","25-39",2014,2376878,NA,TRUE
"121","25-39",2015,2398322,NA,TRUE
"122","25-39",2016,2410540,NA,TRUE
"123","25-39",2017,2400187,NA,TRUE
"124","25-39",2018,2400579,NA,TRUE
"125","25-39",2019,2402360,NA,TRUE
"126","25-39",2020,2378228,NA,TRUE
"127","25-39",2021,2322004,NA,TRUE
"128","25-39",2022,2321455,"25-39",TRUE
"129","40-64",1991,1801613,NA,FALSE
"130","40-64",1992,1803484,NA,FALSE
"131","40-64",1993,1809150,NA,FALSE
"132","40-64",1994,1817654,NA,FALSE
"133","40-64",1995,1825290,NA,FALSE
"134","40-64",1996,1841746,NA,FALSE
"135","40-64",1997,1860532,NA,FALSE
"136","40-64",1998,1884232,NA,FALSE
"137","40-64",1999,1907838,NA,FALSE
"138","40-64",2000,1940067,NA,FALSE
"139","40-64",2001,1966611,NA,FALSE
"140","40-64",2002,1997636,NA,FALSE
"141","40-64",2003,2026878,NA,FALSE
"142","40-64",2004,2056052,NA,FALSE
"143","40-64",2005,2098413,NA,FALSE
"144","40-64",2006,2141273,NA,FALSE
"145","40-64",2007,2181674,NA,FALSE
"146","40-64",2008,2220443,NA,FALSE
"147","40-64",2009,2272226,NA,FALSE
"148","40-64",2010,2312471,NA,FALSE
"149","40-64",2011,2353421,NA,FALSE
"150","40-64",2012,2392477,NA,FALSE
"151","40-64",2013,2437523,NA,FALSE
"152","40-64",2014,2485333,NA,FALSE
"153","40-64",2015,2535601,NA,FALSE
"154","40-64",2016,2580907,NA,FALSE
"155","40-64",2017,2622053,NA,FALSE
"156","40-64",2018,2666722,NA,FALSE
"157","40-64",2019,2708406,NA,FALSE
"158","40-64",2020,2743388,NA,FALSE
"159","40-64",2021,2759151,NA,FALSE
"160","40-64",2022,2772409,"40-64",FALSE
"161","65+",1991,963862,NA,FALSE
"162","65+",1992,956437,NA,FALSE
"163","65+",1993,949721,NA,FALSE
"164","65+",1994,941118,NA,FALSE
"165","65+",1995,934692,NA,FALSE
"166","65+",1996,928399,NA,FALSE
"167","65+",1997,920525,NA,FALSE
"168","65+",1998,914353,NA,FALSE
"169","65+",1999,906126,NA,FALSE
"170","65+",2000,899254,NA,FALSE
"171","65+",2001,897118,NA,FALSE
"172","65+",2002,893178,NA,FALSE
"173","65+",2003,888785,NA,FALSE
"174","65+",2004,883770,NA,FALSE
"175","65+",2005,881806,NA,FALSE
"176","65+",2006,875694,NA,FALSE
"177","65+",2007,873427,NA,FALSE
"178","65+",2008,878233,NA,FALSE
"179","65+",2009,887291,NA,FALSE
"180","65+",2010,897161,NA,FALSE
"181","65+",2011,910130,NA,FALSE
"182","65+",2012,933153,NA,FALSE
"183","65+",2013,950602,NA,FALSE
"184","65+",2014,966311,NA,FALSE
"185","65+",2015,977005,NA,FALSE
"186","65+",2016,988898,NA,FALSE
"187","65+",2017,1000640,NA,FALSE
"188","65+",2018,1013298,NA,FALSE
"189","65+",2019,1028707,NA,FALSE
"190","65+",2020,1037618,NA,FALSE
"191","65+",2021,1050904,NA,FALSE
"192","65+",2022,1070555,"65+",FALSE
