"","Period","Date","Source","Component","Value","Lower.bound","X25..limit","X75..limit","Upper.bound","date","indexed_Intin","Estimates","Estimates_factor","label"
"1","YE Jun 12","30/06/2012","Estimates","Immigration",639000,NA,NA,NA,NA,2012-06-30,100,1,"1",NA
"2","YE Jun 13","30/06/2013","Estimates","Immigration",669000,NA,NA,NA,NA,2013-06-30,104.694835680751,1,"1",NA
"3","YE Jun 14","30/06/2014","Estimates","Immigration",737000,NA,NA,NA,NA,2014-06-30,115.336463223787,1,"1",NA
"4","YE Jun 15","30/06/2015","Estimates","Immigration",778000,NA,NA,NA,NA,2015-06-30,121.752738654147,1,"1",NA
"5","YE Jun 16","30/06/2016","Estimates","Immigration",832000,NA,NA,NA,NA,2016-06-30,130.203442879499,1,"1",NA
"6","YE Jun 17","30/06/2017","Estimates","Immigration",718000,NA,NA,NA,NA,2017-06-30,112.363067292645,1,"1",NA
"7","YE Jun 18","30/06/2018","Estimates","Immigration",757000,NA,NA,NA,NA,2018-06-30,118.466353677621,1,"1",NA
"8","YE Dec 18","31/12/2018","Estimates","Immigration",825000,NA,NA,NA,NA,2018-12-31,129.107981220657,1,"1",NA
"9","YE Jun 19","30/06/2019","Estimates","Immigration",821000,NA,NA,NA,NA,2019-06-30,128.48200312989,1,"1",NA
"10","YE Dec 19","31/12/2019","Estimates","Immigration",788000,NA,NA,NA,NA,2019-12-31,123.317683881064,1,"1",NA
"11","YE Jun 20","30/06/2020","Estimates","Immigration",736000,NA,NA,NA,NA,2020-06-30,115.179968701095,1,"1",NA
"12","YE Dec 20","31/12/2020","Estimates","Immigration",662000,NA,NA,NA,NA,2020-12-31,103.599374021909,1,"1",NA
"13","YE Jun 21","30/06/2021","Estimates","Immigration",709000,NA,NA,NA,NA,2021-06-30,110.954616588419,1,"1",NA
"14","YE Dec 21","31/12/2021","Estimates","Immigration",891000,NA,NA,NA,NA,2021-12-31,139.43661971831,1,"1",NA
"15","YE Jun 22","30/06/2022","Provisional","Immigration",1078000,1055000,1070000,1087000,1104000,2022-06-30,168.701095461659,0,"0",NA
"16","YE Dec 22","31/12/2022","Provisional","Immigration",1234000,1170000,1202000,1236000,1269000,2022-12-31,193.114241001565,0,"0",NA
"17","YE Jun 23","30/06/2023","Provisional","Immigration",1180000,1096000,1136000,1179000,1219000,2023-06-30,184.663536776213,0,"0","Immigration"
