"","agegroup","year","totalvaluenetK","label"
"1","0 - 17",2002,-33.9731493,NA
"2","0 - 17",2003,-34.0647236,NA
"3","0 - 17",2004,-34.4727035,NA
"4","0 - 17",2005,-28.5940961,NA
"5","0 - 17",2006,-28.8132403,NA
"6","0 - 17",2007,-30.0286841,NA
"7","0 - 17",2008,-28.6431733,NA
"8","0 - 17",2009,-21.6485957,NA
"9","0 - 17",2010,-21.3978597,NA
"10","0 - 17",2011,-23.0603239,NA
"11","0 - 17",2012,-27.827499,NA
"12","0 - 17",2013,-30.0800319,NA
"13","0 - 17",2014,-35.6387789,NA
"14","0 - 17",2015,-37.3048372,NA
"15","0 - 17",2016,-39.2416243,NA
"16","0 - 17",2017,-42.9710606,NA
"17","0 - 17",2018,-40.1858514,NA
"18","0 - 17",2019,-39.8425489,NA
"19","0 - 17",2020,-36.4972737,NA
"20","0 - 17",2021,-47.8367063,NA
"21","0 - 17",2022,-43.4938175,"0 - 17"
"22","18 - 24",2002,22.495976,NA
"23","18 - 24",2003,16.2932527,NA
"24","18 - 24",2004,13.2745823,NA
"25","18 - 24",2005,13.0230763,NA
"26","18 - 24",2006,15.2036528,NA
"27","18 - 24",2007,17.4335567,NA
"28","18 - 24",2008,17.314191,NA
"29","18 - 24",2009,20.3885294,NA
"30","18 - 24",2010,14.6052733,NA
"31","18 - 24",2011,18.668019,NA
"32","18 - 24",2012,25.0263293,NA
"33","18 - 24",2013,25.267959,NA
"34","18 - 24",2014,16.7562512,NA
"35","18 - 24",2015,25.2180505,NA
"36","18 - 24",2016,17.9126891,NA
"37","18 - 24",2017,15.3949619,NA
"38","18 - 24",2018,16.5194785,NA
"39","18 - 24",2019,22.5466213,NA
"40","18 - 24",2020,11.1774438,NA
"41","18 - 24",2021,18.2427848,NA
"42","18 - 24",2022,25.1174293,"18 - 24"
"43","25 - 44",2002,-41.415436,NA
"44","25 - 44",2003,-48.9221445,NA
"45","25 - 44",2004,-49.9031158,NA
"46","25 - 44",2005,-37.4417868,NA
"47","25 - 44",2006,-32.0194659,NA
"48","25 - 44",2007,-30.3259263,NA
"49","25 - 44",2008,-24.8729392,NA
"50","25 - 44",2009,-11.1251502,NA
"51","25 - 44",2010,-14.1544734,NA
"52","25 - 44",2011,-14.5379967,NA
"53","25 - 44",2012,-19.6844166,NA
"54","25 - 44",2013,-20.0972833,NA
"55","25 - 44",2014,-26.9030399,NA
"56","25 - 44",2015,-32.6682921,NA
"57","25 - 44",2016,-41.4892428,NA
"58","25 - 44",2017,-51.360447,NA
"59","25 - 44",2018,-48.2901952,NA
"60","25 - 44",2019,-43.6150209,NA
"61","25 - 44",2020,-51.0537317,NA
"62","25 - 44",2021,-98.5227383,NA
"63","25 - 44",2022,-61.0063805,"25 - 44"
"64","45+",2002,-35.1358832,NA
"65","45+",2003,-34.7966863,NA
"66","45+",2004,-36.4325088,NA
"67","45+",2005,-29.7733855,NA
"68","45+",2006,-29.8114038,NA
"69","45+",2007,-33.1859832,NA
"70","45+",2008,-29.8007258,NA
"71","45+",2009,-20.1765673,NA
"72","45+",2010,-21.9265318,NA
"73","45+",2011,-21.3303979,NA
"74","45+",2012,-28.5833735,NA
"75","45+",2013,-27.986181,NA
"76","45+",2014,-31.8910077,NA
"77","45+",2015,-33.3950167,NA
"78","45+",2016,-36.5948408,NA
"79","45+",2017,-38.8602075,NA
"80","45+",2018,-37.4865565,NA
"81","45+",2019,-37.5084493,NA
"82","45+",2020,-37.040245,NA
"83","45+",2021,-58.1212659,NA
"84","45+",2022,-47.4591096,"45+"
